ts,region,model_key,rung,attempt,backend,model,branch,src_sha,oracle_policy_sha,build,device_proof,kernels_launched,memcheck,racecheck,initcheck,compare_visible,compare_holdout,cpu_best_s,naive_stdpar_s,port_s,speedup,verdict,human_intervention,notes
codestral30-0001,ch04:step,codestral,stdpar_managed,1,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-1,8b45f9c9c2d9,414a8ca97a15,pass,pass,10,pass,pass,pass,fail,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,NOTES: Replaced whole-array assignments with explicit `do concurrent` loops for offloading to the GPU and inlined 2nd or
codestral30-0002,ch04:step,codestral,stdpar_managed,2,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-2,e29f7caa59a1,414a8ca97a15,pass,fail,0,NA,NA,NA,NA,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,"NOTES: Added OpenMP offload directives to explicitly compute the differences, and then update `u` and `h`, using standar"
codestral30-0003,ch04:step,codestral,stdpar_managed,3,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-3,023b6e2ced5e,414a8ca97a15,fail,NA,NA,NA,NA,NA,NA,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,"NOTES: Replaced the calls to diff_centered with explicit do concurrent loops for computing derivatives, added map clause"
codestral30-0004,ch04:step,codestral,stdpar_managed,4,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-4,68dd85da9c59,414a8ca97a15,pass,pass,15,pass,pass,pass,fail,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,NOTES: Replaced array assignments with explicit loops. Inlined 2nd-order centered difference directly into the loop. Use
codestral30-0005,ch04:step,codestral,stdpar_managed,5,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-5,85f70b18b206,414a8ca97a15,pass,pass,10,pass,pass,pass,fail,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,NOTES: The modifications were made to use standard-parallelism offload in NVIDIA GPU and preserve the semantic contract.
codestral30-0006,ch04:step,codestral,stdpar_managed,6,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-6,9a4e63503e83,414a8ca97a15,pass,pass,20,pass,pass,pass,fail,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,NOTES: Modified the `step` subroutine to use standard-parallelism offload and replaced whole-array assignments with expl
codestral30-0007,ch04:step,codestral,stdpar_managed,7,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-7,fdfe72e09028,414a8ca97a15,pass,pass,20,pass,pass,pass,fail,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,"NOTES: Fixed the error by using temporary arrays for updated `u` and `h` values. This allows computing the differences, "
codestral30-0008,ch04:step,codestral,stdpar_managed,8,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-8,9fd5b12d79e0,414a8ca97a15,pass,pass,20,pass,pass,pass,fail,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,NOTES: Fixed the indexing in the diff_centered calculation inside the `do concurrent` loops. The indices were off by one
codestral30-0009,ch04:step,codestral,stdpar_managed,9,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-9,d19336b39ba5,414a8ca97a15,pass,pass,20,pass,pass,pass,fail,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,NOTES: Modified the file src/mod_kernel.f90 as requested by replacing whole-array assignments with explicit 'do concurre
codestral30-0010,ch04:step,codestral,stdpar_managed,10,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-10,860e7b216203,414a8ca97a15,pass,pass,20,pass,pass,pass,fail,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,NOTES: The error was due to the incorrect computation of indices in periodic boundaries. I fixed this by properly wrappi
codestral30-0011,ch04:step,codestral,stdpar_managed,11,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-11,52ac05158016,414a8ca97a15,pass,pass,20,pass,pass,pass,fail,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,"NOTES: Updated the continuity update to use the mean of old and new depths for better numerical stability. Otherwise, th"
codestral30-0012,ch04:step,codestral,stdpar_managed,12,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-12,6a8501acc50f,414a8ca97a15,fail,NA,NA,NA,NA,NA,NA,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,
codestral30-0013,ch04:step,codestral,stdpar_managed,13,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-13,f645e5e922bf,414a8ca97a15,fail,NA,NA,NA,NA,NA,NA,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,
codestral30-0014,ch04:step,codestral,stdpar_managed,14,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-14,3bcaf998342d,414a8ca97a15,fail,NA,NA,NA,NA,NA,NA,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,
codestral30-0015,ch04:step,codestral,stdpar_managed,15,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-15,a2e1650c5217,414a8ca97a15,fail,NA,NA,NA,NA,NA,NA,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,
codestral30-0016,ch04:step,codestral,stdpar_managed,16,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-16,a1e37a34de5c,414a8ca97a15,pass,pass,20,pass,pass,pass,fail,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,
codestral30-0017,ch04:step,codestral,stdpar_managed,17,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-17,c4b7b9e427af,414a8ca97a15,pass,pass,10,pass,pass,pass,fail,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,NOTES: Updated the derivative calculations to use a device function. Recomputed du_dx using the updated u for continuity
codestral30-0018,ch04:step,codestral,stdpar_managed,18,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-18,496562a887ae,414a8ca97a15,fail,NA,NA,NA,NA,NA,NA,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,NOTES: Fixed the indexing for periodic boundaries in the continuity update.
codestral30-0019,ch04:step,codestral,stdpar_managed,19,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-19,745312ccce30,414a8ca97a15,pass,pass,10,pass,pass,pass,fail,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,NOTES: Fixed the indexing for periodic boundaries in the continuity update to correctly cycle through the array elements
codestral30-0020,ch04:step,codestral,stdpar_managed,20,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-20,e9fb10d2f017,414a8ca97a15,pass,fail,0,NA,NA,NA,NA,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,"NOTES: Changed `do concurrent` to `do`, and added explicit allocation & deallocation for temporary arrays as nvfortran r"
codestral30-0021,ch04:step,codestral,stdpar_managed,21,openai,codestral:22b-v0.1-q4_0,attempt/codestral-stdpar_managed-21,5ebf559b543d,414a8ca97a15,pass,pass,10,pass,pass,pass,fail,NA,10.365198286999657,7.262415104000411,NA,NA,fail,0,NOTES: I replaced the whole-array assignments with explicit `do concurrent` loops and manually inlined the 2nd-order cen
