ts,region,model_key,rung,attempt,backend,model,branch,src_sha,oracle_policy_sha,build,device_proof,kernels_launched,memcheck,racecheck,initcheck,compare_visible,compare_holdout,cpu_best_s,naive_stdpar_s,port_s,speedup,verdict,human_intervention,notes
codestral100-0001,ch04:step,codestral,omp_target,1,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-1,89008b7dcb36,414a8ca97a15,pass,pass,25,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: Ported the kernel to run on an NVIDIA GPU using OpenMP target offloading. Modifications include wrapping the whol
codestral100-0002,ch04:step,codestral,omp_target,2,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-2,496f430b3ad6,414a8ca97a15,pass,pass,25,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: Corrected the array indexing in the periodic boundary condition calculation within the 'step' subroutine to accou
codestral100-0003,ch04:step,codestral,omp_target,3,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-3,a6b3bc59aba2,414a8ca97a15,pass,pass,25,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: Fixed the indices for periodic boundaries in the stencil calculations.
codestral100-0004,ch04:step,codestral,omp_target,4,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-4,76cb86a9e8f7,414a8ca97a15,pass,pass,25,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,"NOTES: Fixed the index for the continuity (`h`) update to use `mod(i-1,n)+1` instead of `mod(i+1,n)+1`, which was causin"
codestral100-0005,ch04:step,codestral,omp_target,5,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-5,130bd5d1dfb8,414a8ca97a15,pass,pass,25,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,"NOTES: Fixed the indexing error in the continuity equation difference calculation.
The original implementation incorrect"
codestral100-0006,ch04:step,codestral,omp_target,6,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-6,813e7693c7c6,414a8ca97a15,pass,pass,25,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: Remapped the arrays and added OpenMP target offload for loop parallelization. Inlined the centered difference ste
codestral100-0007,ch04:step,codestral,omp_target,7,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-7,5070402ef53e,414a8ca97a15,pass,pass,25,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: Fixed the indexing in the calculation of du/dx and duh/dx to match the correct periodic boundary conditions.
codestral100-0008,ch04:step,codestral,omp_target,8,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-8,5bbfae23eb06,414a8ca97a15,pass,pass,15,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: Moved the `!$omp target teams distribute parallel do` directives to before the corresponding loop constructs. Thi
codestral100-0009,ch04:step,codestral,omp_target,9,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-9,9dc17fb330d2,414a8ca97a15,fail,NA,NA,NA,NA,NA,NA,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,"NOTES:
- Corrected the index calculation for the periodic boundaries in the finite differences.
- Added OpenMP target di"
codestral100-0010,ch04:step,codestral,omp_target,10,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-10,cead3da51ce3,414a8ca97a15,fail,NA,NA,NA,NA,NA,NA,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,
