r1,r2,r3,r4,r5,r6,igrad
1.42446247514769153e+00,5.20590519238477967e+00,6.27948875012839647e+00,5.28618654521765752e+00,6.31399338761071061e+00,1.07530318868582508e+00,1
1.16078371855637807e+00,1.62583566741395980e+00,1.51813942827872084e+00,2.56161266458589409e+00,2.67726953551497671e+00,1.15673420790625481e+00,1
1.18128403201582866e+00,3.77173826726481876e+00,3.30155848173079658e+00,3.04807264575902304e+00,3.73690127738233402e+00,3.80743904481201101e+00,1
1.11869123644630264e+00,1.13328279121204041e+01,1.06844385853126518e+01,1.08677829103099430e+01,1.02432327973961019e+01,1.10553696498510301e+00,1
1.55207740453178356e+00,6.43309779718933061e+00,7.30717061055598194e+00,6.61667536311940641e+00,7.34437853121194273e+00,1.11917640636065197e+00,1
1.30132280530318245e+00,5.62038052390546561e+00,5.47934183205123038e+00,6.69113415064209516e+00,6.51099385272491471e+00,1.11833965021779136e+00,1
1.20020660412640212e+00,4.71256340888954472e+00,5.01596331836856990e+00,3.52129066457293893e+00,3.84182122321569652e+00,1.22292745608500630e+00,1
6.08855279171082309e+00,6.34553246625936129e+00,6.13187229137602419e+00,8.12060457989275619e+00,8.33655024401287648e+00,1.22038015109962505e+00,1
1.23494233617015148e+00,1.19299112015898210e+01,1.20082457794782513e+01,1.18075578877941751e+01,1.17838845129655230e+01,1.07968921474692636e+00,1
1.24455586805090612e+00,7.83633666610538171e+00,8.18360666985203977e+00,6.66018902714552308e+00,7.03415422815098346e+00,1.04122010914494978e+00,1
1.42443041647771595e+00,5.20611763449203924e+00,6.27899999391033870e+00,5.28670213570253633e+00,6.31384721315885233e+00,1.07459339347208438e+00,1
1.16035588191065631e+00,1.62517777366119587e+00,1.51774215310160310e+00,2.56075195332025363e+00,2.67645825620542865e+00,1.15635829885717789e+00,1
1.18006190922811482e+00,3.77227296941729540e+00,3.30273720038290675e+00,3.04877619218043794e+00,3.73731913390635251e+00,3.80864243957250714e+00,1
1.11888574199838375e+00,1.13328419296474827e+01,1.06843776174428555e+01,1.08673196511121244e+01,1.02427174177644975e+01,1.10588478393773659e+00,1
1.55190883000273039e+00,6.43160062504106289e+00,7.30658016914796526e+00,6.61584652949958230e+00,7.34451581789695318e+00,1.11988657265043035e+00,1
1.30051581289529361e+00,5.61995968916125310e+00,5.47885653066360412e+00,6.69010579603352706e+00,6.51005238846080125e+00,1.11953310179248655e+00,1
1.20056949350053177e+00,4.71191461004334577e+00,5.01555239252991036e+00,3.52027181299234826e+00,3.84111341184661059e+00,1.22279567170600867e+00,1
6.08994892643585306e+00,6.34734289138318886e+00,6.13293066501484319e+00,8.12234482940271185e+00,8.33855755717933889e+00,1.22041604825585082e+00,1
1.23538336971203688e+00,1.19300629788595796e+01,1.20086010236732559e+01,1.18069372476190377e+01,1.17834581054795962e+01,1.07931372852827878e+00,1
1.24398177658727360e+00,7.83572082164111716e+00,8.18241320291448382e+00,6.66008082852617900e+00,7.03343371010578622e+00,1.04025972915836640e+00,1
1.42439448809511360e+00,5.20632966265344788e+00,6.27851170162635963e+00,5.28721732674140910e+00,6.31370157746866933e+00,1.07388455001408456e+00,1
1.15992819869844754e+00,1.62451988976831685e+00,1.51734486904749377e+00,2.55989127533414518e+00,2.67564704018831678e+00,1.15598248902568446e+00,1
1.17884017684907638e+00,3.77280776357455805e+00,3.30391605058833182e+00,3.04948040746491200e+00,3.73773714387882094e+00,3.80984594731845672e+00,1
